elapsed_s	state	tx	rx	malformed	decrypt_fail	mac_fail	src_viol	unroutable	rss_kb	ping_ms
24831	established	1751113374	882768843	0	0	0	0	16	5352	3.12
24893	established	1755498010	884973672	0	0	0	0	16	5352	1.59
24955	established	1760071757	887281513	0	0	0	0	16	5352	1.21
25016	established	1764310963	889422140	0	0	0	0	16	5352	2.06
25078	established	1768130344	891344015	0	0	0	0	16	5352	1.38
25140	established	1771756648	893173928	0	0	0	0	16	5352	1.83
25202	established	1775389865	895007226	0	0	0	0	16	5352	1.19
25263	established	1778995240	896826328	0	0	0	0	16	5352	1.80
25325	established	1783610916	899156648	0	0	0	0	16	5352	1.73
25387	established	1787385996	901062247	0	0	0	0	16	5352	1.99
25449	established	1791275142	903014371	0	0	0	0	16	5352	0.701
25510	established	1795893683	905345525	0	0	0	0	16	5352	1.75
25572	established	1800537097	907689579	0	0	0	0	16	5352	1.29
25634	established	1804493686	909685390	0	0	0	0	16	5352	1.48
25696	established	1808380916	911635255	0	0	0	0	16	5352	1.98
25758	established	1813007019	913950540	0	0	0	0	16	5352	1.25
25820	established	1817558675	916248323	0	0	0	0	16	5352	1.82
25882	established	1822057602	918517275	0	0	0	0	16	5352	1.27
25943	established	1826622907	920821108	0	0	0	0	16	5352	0.780
26005	established	1831225213	923144101	0	0	0	0	16	5352	1.87
26067	established	1835187357	925143259	0	0	0	0	16	5352	0.790
26129	established	1839072339	927103038	0	0	0	0	16	5352	1.33
26191	established	1842825931	928996956	0	0	0	0	16	5352	1.19
26252	established	1846397516	930799672	0	0	0	0	17	5352	1.20
26314	established	1850432478	932836057	0	0	0	0	17	5352	0.996
26376	established	1854984269	935132987	0	0	0	0	17	5352	1.60
26437	established	1859559844	937441236	0	0	0	0	17	5352	1.25
26499	established	1864162936	939758121	0	0	0	0	17	5352	0.899
26561	established	1868756602	942075276	0	0	0	0	17	5352	1.71
26623	established	1873353279	944392599	0	0	0	0	17	5352	1.30
26684	established	1877915371	946693103	0	0	0	0	17	5352	1.51
26746	established	1882346973	948924940	0	0	0	0	17	5352	2.19
26808	established	1886024621	950780905	0	0	0	0	17	5352	0.850
26870	established	1889645925	952608548	0	0	0	0	17	5352	1.77
26931	established	1893362612	954484231	0	0	0	0	17	5352	1.14
26993	established	1897632976	956639723	0	0	0	0	17	5352	1.84
27055	established	1901362236	958520901	0	0	0	0	17	5352	3.06
27117	established	1905748974	960732489	0	0	0	0	17	5352	1.56
27179	established	1909909964	962830764	0	0	0	0	17	5352	0.860
27240	established	1914318628	965055010	0	0	0	0	17	5352	1.42
27302	established	1918929122	967374742	0	0	0	0	17	5352	1.41
27364	established	1923538023	969697779	0	0	0	0	17	5352	1.73
27426	established	1928155438	972020166	0	0	0	0	17	5352	1.00
27488	established	1932793097	974344002	0	0	0	0	17	5352	1.42
27549	established	1937382914	976647284	0	0	0	0	17	5352	1.75
27611	established	1941950513	978943420	0	0	0	0	17	5352	1.64
27673	established	1946547689	981259311	0	0	0	0	17	5352	1.42
27734	established	1951150510	983580395	0	0	0	0	17	5352	1.80
